"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_4_Mult_1_Add_2(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","62.92"
"0","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_4_Mult_1_Add_2(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","12.22"
"0","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_4_Mult_1_Add_2(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","17.49"
"0","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_4_Mult_1_Add_2(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","35.33"
"1","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_5(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","31.46"
"1","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_5(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","21.83"
"1","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_5(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","21.25"
"1","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_5(Params *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","43.81"
"2","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_6_iNTTPhase2_7(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","62.83"
"2","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_6_iNTTPhase2_7(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","37.35"
"2","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_6_iNTTPhase2_7(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","66.18"
"2","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","Mult_6_iNTTPhase2_7(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","60.05"
"3","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","iNTTPhase1_8_MultConst_9(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","Mbyte","15.89"
"3","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","iNTTPhase1_8_MultConst_9(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","Mbyte","21.98"
"3","4118884","example-l2.out","127.0.0.1","4118884  ""<default domain>:compute:none:none:none:none:none:none"" ","","iNTTPhase1_8_MultConst_9(Params *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","39.23"
