"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"3","785473","bench","127.0.0.1","Mult(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.33"
"4","785473","bench","127.0.0.1","NTTPhase1(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"4","785473","bench","127.0.0.1","NTTPhase1(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","45.65"
"4","785473","bench","127.0.0.1","NTTPhase1(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
"4","785473","bench","127.0.0.1","NTTPhase1(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"4","785473","bench","127.0.0.1","NTTPhase1(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","88.04"
"4","785473","bench","127.0.0.1","NTTPhase1(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.88"
"5","785473","bench","127.0.0.1","NTTPhase2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"5","785473","bench","127.0.0.1","NTTPhase2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","48.67"
"5","785473","bench","127.0.0.1","NTTPhase2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.49"
"5","785473","bench","127.0.0.1","NTTPhase2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"5","785473","bench","127.0.0.1","NTTPhase2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","40.95"
"5","785473","bench","127.0.0.1","NTTPhase2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(10240, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.41"
"6","785473","bench","127.0.0.1","Mult(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"6","785473","bench","127.0.0.1","Mult(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","14.87"
